Merchants,Descriptions
Kahala,General Child
Dunkin',Md Ice Orig Latte
Dunkin Donuts,Md Ice Orig Latte Chkn RstdPep Wrap
WHOLE FOODS,SWBCO SHR SUNSCREEN SPRY
SAFEWAY O,BODY ARMOR DEP SFTDK PK FS FEE SFTDK PK FS
Grain Exchange,16oz Iced Latte
SAFEWAY,SIG MINI PRETZELS VELVETTA BROWN COW CRM TOP SIG TURKEY BREAST
Dunkin,Lg Ice Orig Latte
Longs,F CVS LINER UNSC DB 135S F HALLS COOL BRRY CD 70CT F CVS LINER UNSC DB 135S
WHOLE FOODS MARKET,365WFM OG ROMAINE BAG KND PCN MAPLE BAR SPRKO RED WAX GOUDA @ $3.90 FT 365WFM BREADED CALAMARI
Oahu,TH P llow RE Pillow
LEAHI HEALTH MANOA,5. Deep Green
Sam's Club #6410,Pump# UNLEAD (11)
GAP OUTLET,"GapKids  Disney Mickey Mouse Graphic T-Shirt GapKids &#124 Disney Mickey Mouse  Graphic T-Shirt Gap  Star Wars&#153 4"" Boxers"
SAFEWAY,LIFEWAY OWM KFR PL. OPN NT PIZZA SIG PISTACHIOS APPLES ROYAL GALA
SAFEWAY,LUC UNSALTD BUTTER KRYGOLD IRSH BTTR
Walmart,SF CANDY FC PB 6CT
WALTER,CORKSCREW LG PAN TONGS
Krispy Kreme,Latte Iced Medium
WHOLE FOODS,LTRBK JAPANESE WHIT BREAD
Dunkin,Md Ice Orig Latte
Olive,Table Games Soft Drink Calamari Soup & Salad Gnocchi Kids Strawberry Kid CYO Meat Sauce Spaghetti Add Meatball w/1 MB Fries
SAFEWAY,HAAGEN DAZS HAAGEN DAZS COFFEEAC
COSTCO WHOLESALE,HI WATER 12P HI BEVERAGE  HI BEVERAGE WATERMELON BLACK GRAPE PRINGLES VTY PANDA COOKIE DUMPLINGS  MANDARINS VAR. MUFFIN SPINSALAD
Longs Drugs,OREO ORIG DBL STFF 14.0 BAUD WAFER CHOCLT HWNISL TEABG GVGNS
Dunkin',Donut
Longs,RAINBOW PLAYBALL EACH CFRIO SF PEG BAG
Hardware Hawaii,CONCRETE MIX 60lb QUIKRETE
Kozo Sushi,Cucumber Maki Shrimp Tempura Hr
KAHEKA STORE,JK ALKALINE BATTERY ORANGE NAVEL 
Whole Foods Market,PFD BTRNUT SOUP OG PFD OG CRMY CARROT SOUP 365WFM BREADED CALAMARI VTACO CCNUT WT CARROT GINGER SOUP OG CAULIFLOWER CIABATTA BREAD
Panda Express #1866,Plate FRIED RICE-1/2 HNY WLT SHRIMP BLK PEPPER STEAK Panda Cares Donation
Walmart,SQZ BUF MAYO MAND 3# BAG
McDonald's,Double Quarter Pounder McDonald's French Fries
McDonald's Restaurant,Happy Meal Ch Burger Cheeseburger Extra Kids Fry THOR Love & Thunder Apple Juice S Frozen Coke
SAFEWAY,CHEESECAKE SLICE
Honolulu Intl Airport 0169,Parking Fee
Taco Bell 001281,Bean Burrito Add Beef
McDonald's Restaurant #14616,Happy Meal Ch Burger Cheeseburger Extra Kids Fry Apple Juice S Apl Jc Surcharge ELEMENTAL S Grimace Bday Shake S Shake Surcharge
Store ,L  LIGHT
Ralphs,ADBR COFFEE RIO ADBR COFFEE RIO ADBR COFFEE RIO
COSTCO WHOLESALE,CHKN TAQUITO ORG BANANAS ORG BLEND SRDOUGH BRD KS BLUEBERRY AVOCADOS CREAM CHEESE KS BACON SW WRAP PIE PUMPKINS WHOLE MILK WHOLE  ALL IN PAN 
PACSUN,Jg striped brianna sweate ROUND UP CHARITY
Longs Drugs,CFRIO SF PEG BAG 3Z 4.59B CFRIO SF PEG BAG 3Z 4.59B CFRIO SF PEG BAG 3Z 4.59B CR GYSR SPR WTR 33.8 BOTTLE DEPOSIT HI CONTAINER FEE CR GYSR SPR WTR 33.8 BOTTLE DEPOSIT HI CONTAINER FEE
H MART,SY RAMEN HOT MULTI IND MI GORENG NOOD HT BEEF DUMPLING D NS SHRIMP HOT SNCK ME AZUKI ICE CREAM
Grove Music,ACCES0843 - Fender Dreadnought/12-String Case Black
Taco Bell 002491,Beef Crunchy Taco Beef Soft Taco Chzy Bean Rice Bur Chips N Cheese
Longs,CFRIO SF PEG BAG 3Z HLMRK EVERYDY CARD ASST TROLLI SOUR CRAWLR 5Z
Walmart,SF CANDY
Wet'N'Wild Hawaii,Gold Pass Season Pass
ProCat,ProCat ProCat Puna
COSTCO,KS ORG EGGS CHKN CHUNKS ONION GRUYER KEBABS KS PISTACHIO
COSTCO WHOLESALE,ORG LATE JUL MOZZ STICKS FR  ORG AVO OIL. SHAVED PARM KIMCHI GUACAMOLE ORG CELERY MINI LIGHTS GREEN  DIAPERS SZ BLUE DOGFOOD FILET STEAK STRAWBERRIES
Sam's Club,SAMURAI WHOLE MILK REVOL GOUDAHAVARTF VOID CREST PASTE TAMPAX RAD BANANAS
KAHEKA STORE,ORANGE NAVEL CHINESE PARSLEY CILA CARROTS-CELLO 2# BH! W
KAHEKA STORE,JK NET SPONGE PLS FRIDGE TRAY WIDE REFRIGERATER SLIM PLASTIC KIREI STOCKE AVOCADO
WHOLE FOODS MARKET,BC PLAIN CRM TOP YGRT 365WFM RBST FREE CRM CHS 365WFM BREADED CALAMARI PINEAPPLE SMALL BAG FEE
Sam's Club,EZPEELSHRINF DC 24PK CANF HI DEPOSIT F HI HANDLINGF MIXED NUTS F DORITOS COOF DORITOS COO BASHATI
"See's Candies, Inc",BULK CANDY HI1 Candy
Dunkin',Lg Ice Orig Latte
SAFEWAY,PETIT ECOLIR MLK
Walmart,BOOSTER VOIDED BANKCARD TRANSACTION
Target,Reusble Bags PAJAMA BOTTOM Stars Above SHOE RACKS Therabreath Raw Sugar Native Raw Sugar AIM All in Motion
UNITED STATES POSTAL SERVICE,USPS Grnd Advtg
ABC STORES,EVIAN WATER LTR
Raising Cane's,FINGER COMBO BOX COMBO SWEET TEA
Walmart,JELLO FIESTA SH GAR ULT BF JOSEPH BREAD AVOCADO SNFLWR SEEDS SF CANDY
COSTCO WHOLESALE,SLICE CHEESE SLICE PEP CB MCHA FRZE FC MANGO
Wal-Mart,OV UH RF JUG
Baskin Robbins,Single Scoop Dip Sugar Cone
SAFEWAY,SIG PARCHMENT PAPR SIG ALUMINUM FOIL LUCERNE MILK WHOLE
Panda Express #2150,Plate FRIED RICE-1/2 FRIED  STR BN CKN BRST ORANGE CKN XTRA ENTREE VEG SPRING  
University of Hawaii - Manoa Bookstore,PAD TRACING 11X14
H Mart,WANG DANGMYUN K-T TOPPOKI OTG SOUP RICECAKE HT VEGE DUMPLING
How doers,"TAPCON BIT <A> TAPCON DRILL BIT 5/32X3-1/2, SGL CT TAPCON 3/16 <A> TAPCON 3/16X1-3/4 STAR FLAT  KDSFEPICHNGR <A> DC TOWEL 3PK <A, U> 10-PIECE BRA <A> DWAMI30 <A>"
SAFEWAY,OYSTER SAUCE 180Z QRT CK LEMON NY STYLE GRND PORK GREEN CABBAGE REDUCED BANANAS
WHOLE FOODS MARKET,CRISPY CAULIFLOWER BITES THE MARKET PUB BURGER MIXER
SAFEWAY,SIG ICE CREAM BAR
The Counter,Fries & Sweets Purist Beef 1/3
See's Candies,Chocolate Colored Film
T.J.MAXX,- HAIRCARE - BATH & BODY/WE - CHILDRENS TOYS
SAFEWAY,BH CHORIZO SAUSAGE
SAFEWAY,WAIALUA FRESH CAGE DANISH VARIETY FRT
KOZO SUSHI MOILIILI,
Walmart,CALAMARI RNG ALMOND MILK SF CANDY COCONUT MILK
KAHEKA STORE,JOLLYTIME POPCORN POPCORN BAGS PK
WHOLE FOODS,MANGO TANGO SMOOTHIE RG ICED LATTE
Kozo Sushi,Cucumber Maki Shrimp Tempura Hr
WHOLE FOODS MARKET,365WFM PASTA SAUCE 365WFM RSTD SLTD ALMDS 365WFM BREADED CALAMARI
KAHEKA STORE,CHINESE PARSLEY CILA PAPER BAG TIMES
T&C Surf Designs Ala Moana,FT CUSHION VISTA VINTAGE BAG FEE
Taste Tea,Blended Milk Tea
McDonald's Restaurant #2331,Happy Meal Ch Burger Cheeseburger Extra Kids Fry Apple Juice M Diet Coke
